date,bike_count
2013-12-11,4516.0
2013-12-12,4566.0
2013-12-13,4138.0
2013-12-14,1941.0
2013-12-15,1435.0
2013-12-16,4713.0
2013-12-17,4880.0
2013-12-18,4838.0
2013-12-19,3340.0
2013-12-20,4307.0
2013-12-21,2687.0
2013-12-22,1096.0
2013-12-23,3348.0
2013-12-24,1696.0
2013-12-25,273.0
2013-12-26,361.0
2013-12-27,2553.0
2013-12-28,1353.0
2013-12-29,836.0
2013-12-30,3029.0
2013-12-31,1735.0
2014-01-01,779.0
2014-01-02,2345.0
2014-01-03,3049.0
2014-01-04,1954.0
2014-01-05,1100.0
2014-01-06,1468.0
2014-01-07,5634.0
2014-01-08,5455.0
2014-01-09,5254.0
2014-01-10,5327.0
2014-01-11,3109.0
2014-01-12,1631.0
2014-01-13,4373.0
2014-01-14,4895.0
2014-01-15,5148.0
2014-01-16,4832.0
2014-01-17,5459.0
2014-01-18,3763.0
2014-01-19,1551.0
2014-01-20,4607.0
2014-01-21,4420.0
2014-01-22,4996.0
2014-01-23,4542.0
2014-01-24,4286.0
2014-01-25,3422.0
2014-01-26,1442.0
2014-01-27,4515.0
2014-01-28,5136.0
2014-01-29,4834.0
2014-01-30,4881.0
2014-01-31,4872.0
2014-02-01,3152.0
2014-02-02,1466.0
2014-02-03,4821.0
2014-02-04,4908.0
2014-02-05,4604.0
2014-02-06,5274.0
2014-02-07,4662.0
2014-02-08,2934.0
2014-02-09,1240.0
2014-02-10,4393.0
2014-02-11,5015.0
2014-02-12,5210.0
2014-02-13,3938.0
2014-02-14,4946.0
2014-02-15,1696.0
2014-02-16,1310.0
2014-02-17,5140.0
2014-02-18,5021.0
2014-02-19,4870.0
2014-02-20,5333.0
2014-02-21,4562.0
2014-02-22,3217.0
2014-02-23,1893.0
2014-02-24,5472.0
2014-02-25,5141.0
2014-02-26,4006.0
2014-02-27,5120.0
2014-02-28,4774.0
2014-03-01,3316.0
2014-03-02,1526.0
2014-03-03,4186.0
2014-03-04,3903.0
2014-03-05,5160.0
2014-03-06,5179.0
2014-03-07,5334.0
2014-03-08,4107.0
2014-03-09,2249.0
2014-03-10,5770.0
2014-03-11,5857.0
2014-03-12,5983.0
2014-03-13,6217.0
2014-03-14,6140.0
2014-03-15,3229.0
2014-03-16,1696.0
2014-03-17,5181.0
2014-03-18,6762.0
2014-03-19,6199.0
2014-03-20,6679.0
2014-03-21,5427.0
2014-03-22,2467.0
2014-03-23,1651.0
2014-03-24,5111.0
2014-03-25,5695.0
2014-03-26,6498.0
2014-03-27,6273.0
2014-03-28,6454.0
2014-03-29,4827.0
2014-03-30,2358.0
2014-03-31,6555.0
2014-04-01,6908.0
2014-04-02,7271.0
2014-04-03,7274.0
2014-04-04,7006.0
2014-04-05,3350.0
2014-04-06,3882.0
2014-04-07,6959.0
2014-04-08,5899.0
2014-04-09,6712.0
2014-04-10,7038.0
2014-04-11,7279.0
2014-04-12,5257.0
2014-04-13,2525.0
2014-04-14,6072.0
2014-04-15,6379.0
2014-04-16,6705.0
2014-04-17,6599.0
2014-04-18,1293.0
2014-04-19,3403.0
2014-04-20,1371.0
2014-04-21,1446.0
2014-04-22,6370.0
2014-04-23,6977.0
2014-04-24,7447.0
2014-04-25,6870.0
2014-04-26,4840.0
2014-04-27,1918.0
2014-04-28,6066.0
2014-04-29,7356.0
2014-04-30,7005.0
2014-05-01,1660.0
2014-05-02,5953.0
2014-05-03,3754.0
2014-05-04,2374.0
2014-05-05,7554.0
2014-05-06,7380.0
2014-05-07,6189.0
2014-05-08,6500.0
2014-05-09,6962.0
2014-05-10,4501.0
2014-05-11,1751.0
2014-05-12,5671.0
2014-05-13,6492.0
2014-05-14,7428.0
2014-05-15,7334.0
2014-05-16,7041.0
2014-05-17,5023.0
2014-05-18,2821.0
2014-05-19,7675.0
2014-05-20,8272.0
2014-05-21,8326.0
2014-05-22,7665.0
2014-05-23,6527.0
2014-05-24,4265.0
2014-05-25,2928.0
2014-05-26,6701.0
2014-05-27,6915.0
2014-05-28,8078.0
2014-05-29,2945.0
2014-05-30,6417.0
2014-05-31,5110.0
2014-06-01,2719.0
2014-06-02,7397.0
2014-06-03,8109.0
2014-06-04,7181.0
2014-06-05,8025.0
2014-06-06,7880.0
2014-06-07,5181.0
2014-06-08,2498.0
2014-06-09,2322.0
2014-06-10,7018.0
2014-06-11,7562.0
2014-06-12,7927.0
2014-06-13,8007.0
2014-06-14,5389.0
2014-06-15,2893.0
2014-06-16,8502.0
2014-06-17,7959.0
2014-06-18,8542.0
2014-06-19,3470.0
2014-06-20,6888.0
2014-06-21,5529.0
2014-06-22,2913.0
2014-06-23,8177.0
2014-06-24,8622.0
2014-06-25,8031.0
2014-06-26,9153.0
2014-06-27,8125.0
2014-06-28,4431.0
2014-06-29,2134.0
2014-06-30,6795.0
