"date","temperature","humidity","windspeed","wind_direction","visibility","precipitation","sun","windspeed_max","precip_indic","precip_type"
2022-04-29,14.4833333333333,57,3,36.1111111111111,46375.5555555556,0,332,8.1,0,0
2022-04-30,10.8388888888889,82.7222222222222,3.13888888888889,117.777777777778,16488.8888888889,3,67,7.4,1,3
2022-05-01,12.3444444444444,72,1.7,162.777777777778,25981.1111111111,0,249,7.3,0,0
2022-05-02,13.7722222222222,69.1111111111111,2.60555555555556,40,31641.1111111111,0,439,7.2,0,0
2022-05-03,14.6944444444444,71.4444444444444,2.13888888888889,71.6666666666667,30751.1111111111,5.6,473,13.7,0,0
2022-05-04,14.9,69.2777777777778,1.41666666666667,190,36491.6666666667,0.1,480,10.5,0,0
2022-05-05,12.65,84.4444444444444,1.58333333333333,251.666666666667,19034.4444444444,2.1,0,4.1,0.5,6
2022-05-06,15.4,65.1111111111111,2.31666666666667,80,41339.4444444444,0,541,10.1,0,0
2022-05-07,15.8388888888889,58.5555555555556,2.02777777777778,73.3333333333333,52336.1111111111,0,641,7.7,0,0
2022-05-08,16.9222222222222,60,3.32222222222222,58.3333333333333,47174.4444444444,0,774,10.2,0,0
2022-05-09,18.8388888888889,62.3333333333333,3.26666666666667,47.2222222222222,43165.5555555556,0,810,7.7,0,0
2022-05-10,19.6777777777778,64.6111111111111,2.21666666666667,211.666666666667,39683.3333333333,0,568,7,0,0
2022-05-11,22.5,53.0555555555556,4.16666666666667,218.888888888889,45555,0,806,13.6,0,0
2022-05-12,20.6,59.3888888888889,4.03888888888889,250,64881.1111111111,0,358,9.2,0,0
2022-05-13,19.2166666666667,55.9444444444444,3.41111111111111,243.888888888889,53498.8888888889,0,548,10.4,0,0
2022-05-14,17.8611111111111,53.6666666666667,1.67222222222222,216.666666666667,61687.2222222222,0,835,5.6,0,0
2022-05-15,21.5444444444444,46.7222222222222,4.06111111111111,50,55244.4444444444,0,814,9,0,0
2022-05-16,19.3777777777778,68.5,4.07777777777778,223.333333333333,51384.4444444444,0.2,319,15.6,0,0
2022-05-17,21.2833333333333,56.0555555555556,1.88888888888889,101.111111111111,54417.2222222222,0,767,6.9,0,0
2022-05-18,23.7055555555556,48.6666666666667,2.72777777777778,119.444444444444,57040.5555555556,0,850,9.7,0,0
2022-05-19,24.4777777777778,52.1666666666667,2.83333333333333,210,51347.7777777778,0,751,10,0,0
2022-05-20,23.2833333333333,65.1111111111111,2.50555555555556,215.555555555556,43288.3333333333,0.7,530,15.1,0,0
2022-05-21,18.1888888888889,56.3888888888889,3.7,263.333333333333,62575,0,769,11.5,0,0
2022-05-22,18.7944444444444,55.2777777777778,1.49444444444444,199.444444444444,58584.4444444444,0,559,6.4,0,0
2022-05-23,19.4111111111111,74.3333333333333,3.38888888888889,195.555555555556,48296.1111111111,8.1,235,15.9,0.5,3
2022-05-24,17.2,66.3333333333333,4.31111111111111,248.888888888889,56230.5555555556,1.3,498,13.1,0,0
2022-05-25,17.7888888888889,54.7222222222222,3.37222222222222,242.222222222222,66394.4444444444,0,700,9.1,0,0
2022-05-26,17.9555555555556,57.3333333333333,4.38888888888889,244.444444444444,63969.4444444444,0,370,10.3,0,0
2022-05-27,16.7944444444444,66.8333333333333,5.34444444444444,242.222222222222,65536.1111111111,0,180,12.7,0,0
2022-05-28,15.6055555555556,45,2.00555555555556,252.777777777778,60782.2222222222,0,457,6.6,0,0
2022-05-29,13.2388888888889,55.3333333333333,2.57222222222222,62.7777777777778,58633.8888888889,0.6,408,7.3,0,0
2022-05-30,14.5166666666667,50.6111111111111,2.49444444444444,100,61987.2222222222,0,806,7.7,0,0
2022-05-31,17.4944444444444,46.6666666666667,2.26111111111111,215.555555555556,64002.7777777778,0,537,7.6,0,0
2022-06-01,19.3722222222222,46.2777777777778,3.92777777777778,251.666666666667,59243.8888888889,0,739,13,0,0
2022-06-02,19.4555555555556,45.2222222222222,4.06666666666667,47.7777777777778,56007.7777777778,0,748,9.6,0,0
