start,end,year,stateCode,name,slug
2022-12-21,2023-01-07,2022,BW,weihnachtsferien baden-württemberg 2022,weihnachtsferien baden-württemberg 2022-2022-BW
2022-02-28,2022-03-04,2022,BY,winterferien bayern 2022,winterferien bayern 2022-2022-BY
2022-04-11,2022-04-23,2022,BY,osterferien bayern 2022,osterferien bayern 2022-2022-BY
2022-06-07,2022-06-18,2022,BY,pfingstferien bayern 2022,pfingstferien bayern 2022-2022-BY
2022-08-01,2022-09-12,2022,BY,sommerferien bayern 2022,sommerferien bayern 2022-2022-BY
2022-10-31,2022-11-04,2022,BY,herbstferien bayern 2022,herbstferien bayern 2022-2022-BY
2022-11-16,2022-11-16,2022,BY,herbstferien bayern 2022 (beweglicher ferientag),herbstferien bayern 2022 (beweglicher ferientag)-2022-BY
2022-12-24,2023-01-07,2022,BY,weihnachtsferien bayern 2022,weihnachtsferien bayern 2022-2022-BY
2022-01-29,2022-02-05,2022,BE,winterferien berlin 2022,winterferien berlin 2022-2022-BE
2022-04-11,2022-04-23,2022,BE,osterferien berlin 2022,osterferien berlin 2022-2022-BE
2022-05-27,2022-05-27,2022,BE,pfingstferien berlin 2022 (beweglicher ferientag),pfingstferien berlin 2022 (beweglicher ferientag)-2022-BE
2022-07-07,2022-08-19,2022,BE,sommerferien berlin 2022,sommerferien berlin 2022-2022-BE
2022-10-24,2022-11-05,2022,BE,herbstferien berlin 2022,herbstferien berlin 2022-2022-BE
2022-12-22,2023-01-02,2022,BE,weihnachtsferien berlin 2022,weihnachtsferien berlin 2022-2022-BE
2022-01-31,2022-02-05,2022,BB,winterferien brandenburg 2022,winterferien brandenburg 2022-2022-BB
2022-04-11,2022-04-23,2022,BB,osterferien brandenburg 2022,osterferien brandenburg 2022-2022-BB
2022-07-07,2022-08-20,2022,BB,sommerferien brandenburg 2022,sommerferien brandenburg 2022-2022-BB
2022-10-24,2022-11-05,2022,BB,herbstferien brandenburg 2022,herbstferien brandenburg 2022-2022-BB
2022-12-22,2023-01-03,2022,BB,weihnachtsferien brandenburg 2022,weihnachtsferien brandenburg 2022-2022-BB
2022-01-31,2022-02-01,2022,HB,winterferien bremen 2022,winterferien bremen 2022-2022-HB
2022-04-04,2022-04-19,2022,HB,osterferien bremen 2022,osterferien bremen 2022-2022-HB
2022-05-27,2022-05-27,2022,HB,pfingstferien bremen 2022 (beweglicher ferientag),pfingstferien bremen 2022 (beweglicher ferientag)-2022-HB
2022-07-14,2022-08-24,2022,HB,sommerferien bremen 2022,sommerferien bremen 2022-2022-HB
2022-10-17,2022-10-29,2022,HB,herbstferien bremen 2022,herbstferien bremen 2022-2022-HB
2022-12-23,2023-01-06,2022,HB,weihnachtsferien bremen 2022,weihnachtsferien bremen 2022-2022-HB
2022-01-28,2022-01-28,2022,HH,winterferien hamburg 2022 (beweglicher ferientag),winterferien hamburg 2022 (beweglicher ferientag)-2022-HH
2022-03-07,2022-03-18,2022,HH,osterferien hamburg 2022,osterferien hamburg 2022-2022-HH
2022-05-23,2022-05-27,2022,HH,pfingstferien hamburg 2022,pfingstferien hamburg 2022-2022-HH
2022-07-07,2022-08-17,2022,HH,sommerferien hamburg 2022,sommerferien hamburg 2022-2022-HH
2022-10-10,2022-10-21,2022,HH,herbstferien hamburg 2022,herbstferien hamburg 2022-2022-HH
